id,pop,lat,lon,id2,Date,city,Elevation,plus_code,Capture_method,sex,Weiht_rams,body_width,body_circumference,Wing,Tarsus,wingspan,Beak_length,length_body,Colour_Secondary_feathers,Colour_Beak,Colour_Eye_circle,Colour_Back,Colour_Chest
sshn001,South Sharqiyah,21.5704375,59.5316875,29,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,96.04,3.4,11.5,19.2,3.9,41.5,2.1,25.5,black,yellow,yellow,brown_grey,brown_grey
shhn010,South Sharqiyah,21.5704375,59.5316875,38,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,106.05,3.9,13,20,4,43,2.1,26,black,yellow,yellow,brown_grey,brown_grey
shhn11,South Sharqiyah,21.5704375,59.5316875,56,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,107.71,4,12.3,19,4,41,2,24.5,black,yellow,yellow,brown_grey,brown_grey
Sshn12,South Sharqiyah,21.5704375,59.5316875,54,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,110,4,12,20,3.8,39,2,24,black,yellow,yellow,brown_grey,brown_grey
sshn002,South Sharqiyah,21.5704375,59.5316875,30,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,118.52,4,13,20.2,4,43.5,2,29.1,black,yellow,yellow,brown_grey,brown_grey
sshn003,South Sharqiyah,21.5704375,59.5316875,31,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,111.5,4,13.2,20.6,4,42,2,26,black,yellow,yellow,brown_grey,brown_grey
sshn004,South Sharqiyah,21.5704375,59.5316875,32,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,127.74,3.8,12.6,21,4,44,2.1,26,black,yellow,yellow,brown_grey,brown_grey
sshn005,South Sharqiyah,21.5704375,59.5316875,33,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,110.81,4,12.5,20.2,4,43,2.1,25.5,black,yellow,yellow,brown_grey,brown_grey
sshn06,South Sharqiyah,21.5704375,59.5316875,34,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,128.46,4,12.5,20.6,4,44,2.2,27,black,yellow,yellow,brown_grey,brown_grey
sshn007,South Sharqiyah,21.5704375,59.5316875,35,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,112.96,4,12.5,19,3.8,41.6,2,25.3,black,yellow,yellow,brown_grey,brown_grey
sshn008,South Sharqiyah,21.5704375,59.5316875,36,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,119.62,4,13,20,4,44,2.2,26,black,yellow,yellow,brown_grey,brown_grey
sshn009,South Sharqiyah,21.5704375,59.5316875,37,12/16/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,100.27,3.5,12,19.2,4,42,2,26,black,yellow,yellow,brown_grey,brown_grey
sshn13,South Sharqiyah,21.5704375,59.5316875,57,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,104.7,3.8,11,20,3.8,41,2.2,25,black,yellow,yellow,brown_grey,brown_grey
Sshn23,South Sharqiyah,21.5704375,59.5316875,47,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,134.18,4,13,20,4,43.5,2,27,black,yellow,yellow,brown_grey,brown_grey
sshn24,South Sharqiyah,21.5704375,59.5316875,60,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,131.2,4,13,21,4,43,-,26,black,yellow,yellow,brown_grey,brown_grey
sshn25,South Sharqiyah,21.5704375,59.5316875,61,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,110.27,4,13,20,3.8,40,2.1,26,black,yellow,yellow,brown_grey,brown_grey
Sshn14,South Sharqiyah,21.5704375,59.5316875,48,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,123.5,4,12.5,20,3.8,40,2,25,black,yellow,yellow,brown_grey,brown_grey
Sshn15,South Sharqiyah,21.5704375,59.5316875,52,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,123.2,4,12.2,20,4,42,2,26.5,black,yellow,yellow,brown_grey,brown_grey
sshn16,South Sharqiyah,21.5704375,59.5316875,58,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,111.08,4,12.5,21,4,43,2.2,26,black,yellow,yellow,brown_grey,brown_grey
sshn17,South Sharqiyah,21.5704375,59.5316875,59,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,97.3,4,11.3,19,3.8,40.5,2.2,25,black,yellow,yellow,brown_grey,brown_grey
Sshn19,South Sharqiyah,21.5704375,59.5316875,55,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,132,4,13,22.5,4,41,2.1,27,black,yellow,yellow,brown_grey,brown_grey
Sshn20,South Sharqiyah,21.5704375,59.5316875,41,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,128.9,4,14,20,3.8,41.5,2.2,24,black,yellow,yellow,brown_grey,brown_grey
Sshn21,South Sharqiyah,21.5704375,59.5316875,49,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,96.4,3.8,10,19.5,3.8,39,2.1,25,black,yellow,yellow,brown_grey,brown_grey
Sshn22,South Sharqiyah,21.5704375,59.5316875,43,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,94.52,3.6,11.5,19.5,3.8,40,2,26,black,yellow,yellow,brown_grey,brown_grey
