Assembly Accession,Assembly-unit accession,chrom,GC Count,GC Percent,GenBank seq accession,Molecule type,Ordering,RefSeq seq accession,Role,Seq length,UCSC style name,Unlocalized Count,Sequence name
GCA_037013685.1,Primary Assembly,1,45455077,39.5,CM072884.1,Chromosome,,,assembled-molecule,115054314,,,Superscaffold_chr1
GCA_037013685.1,Primary Assembly,1A,29157762,40,CM072885.1,Chromosome,,,assembled-molecule,72486765,,,Superscaffold_chr1A
GCA_037013685.1,Primary Assembly,2,59336760,39.5,CM072886.1,Chromosome,,,assembled-molecule,150861042,,1,Superscaffold_chr2
GCA_037013685.1,Primary Assembly,3,44888868,40,CM072887.1,Chromosome,,,assembled-molecule,112525689,,,Superscaffold_chr3
GCA_037013685.1,Primary Assembly,4,28615505,39.5,CM072888.1,Chromosome,,,assembled-molecule,72165680,,,Superscaffold_chr4
GCA_037013685.1,Primary Assembly,4A,9042878,44,CM072889.1,Chromosome,,,assembled-molecule,20560723,,,Superscaffold_chr4A
GCA_037013685.1,Primary Assembly,5a,5788431,42.5,CM072890.1,Chromosome,,,assembled-molecule,13625367,,,Superscaffold_chr5a
GCA_037013685.1,Primary Assembly,5b,8642150,40,CM072891.1,Chromosome,,,assembled-molecule,21483237,,,Superscaffold_chr5b
GCA_037013685.1,Primary Assembly,5c,10922420,41.5,CM072892.1,Chromosome,,,assembled-molecule,26274682,,,Superscaffold_chr5c
GCA_037013685.1,Primary Assembly,6,15244406,42,CM072893.1,Chromosome,,,assembled-molecule,36257585,,,Superscaffold_chr6
GCA_037013685.1,Primary Assembly,7,15696728,41.5,CM072894.1,Chromosome,,,assembled-molecule,38000284,,,Superscaffold_chr7
GCA_037013685.1,Primary Assembly,8,13499877,42.5,CM072895.1,Chromosome,,,assembled-molecule,31780390,,,Superscaffold_chr8
GCA_037013685.1,Primary Assembly,9,11084331,43,CM072896.1,Chromosome,,,assembled-molecule,25638847,,,Superscaffold_chr9
GCA_037013685.1,Primary Assembly,10,9700427,44,CM072897.1,Chromosome,,,assembled-molecule,22131633,,,Superscaffold_chr10
GCA_037013685.1,Primary Assembly,11,8905279,43,CM072898.1,Chromosome,,,assembled-molecule,20695176,,,Superscaffold_chr11
GCA_037013685.1,Primary Assembly,12,9117863,44,CM072899.1,Chromosome,,,assembled-molecule,20683568,,,Superscaffold_chr12
GCA_037013685.1,Primary Assembly,13,8499282,45,CM072900.1,Chromosome,,,assembled-molecule,18880654,,,Superscaffold_chr13
GCA_037013685.1,Primary Assembly,14,6792065,45,CM072901.1,Chromosome,,,assembled-molecule,15062546,,,Superscaffold_chr14
GCA_037013685.1,Primary Assembly,15,6544811,47,CM072902.1,Chromosome,,,assembled-molecule,13988645,,,Superscaffold_chr15
GCA_037013685.1,Primary Assembly,16,194464,46,CM072903.1,Chromosome,,,assembled-molecule,421383,,,Superscaffold_chr16
GCA_037013685.1,Primary Assembly,17,5458391,48.5,CM072904.1,Chromosome,,,assembled-molecule,11205909,,,Superscaffold_chr17
GCA_037013685.1,Primary Assembly,18,5716457,47.5,CM072905.1,Chromosome,,,assembled-molecule,12012761,,,Superscaffold_chr18
GCA_037013685.1,Primary Assembly,19,5294813,47.5,CM072906.1,Chromosome,,,assembled-molecule,11104981,,,Superscaffold_chr19
GCA_037013685.1,Primary Assembly,20,6855479,46.5,CM072907.1,Chromosome,,,assembled-molecule,14665733,,,Superscaffold_chr20
GCA_037013685.1,Primary Assembly,21,3878370,48,CM072908.1,Chromosome,,,assembled-molecule,8045593,,,Superscaffold_chr21
GCA_037013685.1,Primary Assembly,22,2714689,50.5,CM072909.1,Chromosome,,,assembled-molecule,5350318,,,Superscaffold_chr22
GCA_037013685.1,Primary Assembly,23,3601935,51.5,CM072910.1,Chromosome,,,assembled-molecule,7012162,,,Superscaffold_chr23
GCA_037013685.1,Primary Assembly,24,3615684,49.5,CM072911.1,Chromosome,,,assembled-molecule,7289412,,,Superscaffold_chr24
GCA_037013685.1,Primary Assembly,25,1905342,55.5,CM072912.1,Chromosome,,,assembled-molecule,3419411,,,Superscaffold_chr25
GCA_037013685.1,Primary Assembly,26,3588119,52,CM072913.1,Chromosome,,,assembled-molecule,6882709,,,Superscaffold_chr26
GCA_037013685.1,Primary Assembly,27,3153005,51.5,CM072914.1,Chromosome,,,assembled-molecule,6103365,,,Superscaffold_chr27
GCA_037013685.1,Primary Assembly,29,1873623,55.5,CM072915.1,Chromosome,,,assembled-molecule,3374684,,,Superscaffold_chr29
GCA_037013685.1,Primary Assembly,30,1296439,56.5,CM072916.1,Chromosome,,,assembled-molecule,2295591,,3,Superscaffold_chr30
GCA_037013685.1,Primary Assembly,31,639810,63,CM072917.1,Chromosome,,,assembled-molecule,1017340,,2,Superscaffold_chr31
GCA_037013685.1,Primary Assembly,32,635533,53.5,CM072918.1,Chromosome,,,assembled-molecule,1185568,,1,Superscaffold_chr32
GCA_037013685.1,Primary Assembly,Z,32456302,40.5,CM072919.1,Chromosome,,,assembled-molecule,80029777,,,Superscaffold_chrZ
GCA_037013685.1,Primary Assembly,2,,,JAQOXP010000037.1,Chromosome,,,unlocalized-scaffold,683526,,1,Scaffold_chr2_unplacedseq1
GCA_037013685.1,Primary Assembly,30,,,JAQOXP010000038.1,Chromosome,,,unlocalized-scaffold,424599,,3,Scaffold_chr30_unplacedseq1
GCA_037013685.1,Primary Assembly,30,,,JAQOXP010000039.1,Chromosome,,,unlocalized-scaffold,451046,,3,Scaffold_chr30_unplacedseq2
GCA_037013685.1,Primary Assembly,30,,,JAQOXP010000040.1,Chromosome,,,unlocalized-scaffold,82241,,3,Scaffold_chr30_unplacedseq3
GCA_037013685.1,Primary Assembly,31,,,JAQOXP010000041.1,Chromosome,,,unlocalized-scaffold,454118,,2,Scaffold_chr31_unplacedseq2
GCA_037013685.1,Primary Assembly,31,,,JAQOXP010000043.1,Chromosome,,,unlocalized-scaffold,190779,,2,Scaffold_chr31_unplacedseq1
GCA_037013685.1,Primary Assembly,32,,,JAQOXP010000042.1,Chromosome,,,unlocalized-scaffold,422444,,1,Scaffold_chr32_unplacedseq3
GCA_037013685.1,Primary Assembly,33,,,JAQOXP010000044.1,Chromosome,,,unlocalized-scaffold,587525,,2,Scaffold_chr33_unplacedseq1
GCA_037013685.1,Primary Assembly,33,,,JAQOXP010000045.1,Chromosome,,,unlocalized-scaffold,639955,,2,Scaffold_chr33_unplacedseq2
GCA_037013685.1,Primary Assembly,34,,,JAQOXP010000046.1,Chromosome,,,unlocalized-scaffold,471152,,2,Scaffold_chr34_unplacedseq1
